* FASER$\nu$ $\nu_{\mu}$ CC DIS pseudodata
&Data
   Name = 'FASER$\nu$ $\nu_{\mu}$'
   IndexDataset = 137
   Reaction = 'CC nup'

   NData = 145
   NColumn = 5
   ColumnType = 'Flag',2*'Bin','Sigma',1*'Error'
   ColumnName = 'binFlag','x','Q2','Sigma','stat'
   TheoryType = 'expression'
   TermType   = 'reaction'
   TermName   = 'P'
   TermSource = 'PineAPPL'
   TermInfo   = 'GridName=datafiles/lhc/fpf/neutrinoDIS/pseudodata/grids/FASERv_14/nu_A_1-XSFPFCC.pineappl.lz4'
   TheorExpr  = 'P'

   Percent = 1*True
&End
&PlotDesc
   PlotN = 4
   PlotDefColumn = 'Q2'
   PlotVarColumn = 'x'
   PlotDefValue = 3., 5., 11., 110., 1100.
   PlotOptions(1)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 4 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(2)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 10 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(3)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 100 @Ymin:0.01@Xlog@Ylog'
   PlotOptions(4)  = 'Experiment:FASER#nu #nu_{#mu}@ExtraLabel:#nu p (CC) @XTitle: x @YTitle: d^{2}#sigma/dxdQ^{2} @Title:Q^{2} > 1000 @Ymin:0.01@Xlog@Ylog'
&End
*binFlag          x              Q2           Sigma            stat
  1         0.17654             550       0.0197166         9.49228
  0         0.17654            5500               0         118.302
  0         0.17654           55000               0               0
  0         0.24253               7               0               0
  1         0.24253              55       0.0172141         16.0608
  1         0.24253             550       0.0123334         8.11075
  0         0.24253            5500               0         53.1301
  0         0.24253           55000               0               0
  0         0.33319               7               0               0
  1         0.33319              55      0.00816153         24.5815
  1         0.33319             550      0.00517674         8.24335
  1         0.33319            5500      0.00542949         35.2757
  0         0.33319           55000               0               0
  0        0.457745               7               0               0
  0        0.457745              55               0         58.3822
  1        0.457745             550      0.00169001         8.65177
  1        0.457745            5500      0.00118803         24.1346
  0        0.457745           55000               0               0
  0        0.628865               7               0               0
  0        0.628865              55               0               0
  1        0.628865             550     0.000356573         8.44207
  1        0.628865            5500     0.000104539         16.2657
  0        0.628865           55000               0               0
  0         0.86395               7               0               0
  0         0.86395              55               0               0
  1         0.86395             550     4.91322e-05         11.4637
  1         0.86395            5500     1.61013e-05         16.2488
  0         0.86395           55000               0               0
